84500,1,1,523
0845est,1,1,524
84600,1,1,525
0846est,1,1,526
847,1,1,527
84700,1,1,528
0847est,1,1,529
84800,1,1,530
0848est,1,1,531
851,1,1,532
85100,1,1,533
0851est,1,1,534
85200,2,2,535
0852edt,1,1,537
0852est,1,1,538
853,1,1,539
855,1,1,540
85500,1,1,541
0855edt,1,1,542
857,1,1,543
85800,2,2,544
0858est,2,2,546
859,1,1,548
863,1,1,549
877,1,1,550
880,1,1,551
882,1,1,552
887,1,1,553
890,1,1,554
895,1,1,555
9,9,3,556
902,1,1,559
90400,1,1,560
0904est,1,1,561
90500,1,1,562
0905est,1,1,563
90800,2,2,564
0908edt,1,1,566
0908est,1,1,567
910,1,1,568
91000,1,1,569
0910est,1,1,570
91200,1,1,571
0912edt,1,1,572
913,2,2,573
91400,1,1,575
0914est,1,1,576
91500,1,1,577
0915edt,1,1,578
91600,1,1,579
0916est,1,1,580
91800,2,2,581
0918est,2,2,583
919,1,1,585
91900,1,1,586
0919est,1,1,587
92,1,1,588
920,2,2,589
92000,2,2,591
0920edt,1,1,593
0920est,1,1,594
92100,1,1,595
0921est,1,1,596
92200,2,2,597
0922edt,1,1,599
0922est,1,1,600
92300,1,1,601
0923est,1,1,602
92400,1,1,603
0924edt,1,1,604
930,1,1,605
93400,3,3,606
0934est,3,3,609
938,2,2,612
94400,1,1,614
0944est,1,1,615
95800,1,1,616
0958edt,1,1,617
95900,1,1,618
0959est,1,1,619
973,2,2,620
988,1,1,622
998,1,1,623
10,518,196,624
100,30,27,820
1000,6,5,847
10000,11,11,852
100000,15,13,863
10021998,1,1,876
10025,1,1,877
10031998,14,14,878
10041998,8,8,892
10051998,3,3,900
10061998,2,2,903
10081998,1,1,905
101,1,1,906
10101998,1,1,907
10121998,1,1,908
10141998,3,3,909
10161998,1,1,912
101700,1,1,913
10171998,4,4,914
1017est,1,1,918
10181998,2,2,919
1019,1,1,921
102,6,6,922
10201998,1,1,928
1021,1,1,929
10211998,2,2,930
10221998,1,1,932
10231998,3,3,933
10241998,4,4,936
10251998,8,8,940
10261998,3,3,948
10271998,2,2,951
10281998,2,2,953
102900,1,1,955
10291998,2,2,956
1029edt,1,1,958
103,7,7,959
1030,2,2,966
10301998,4,4,968
10311998,4,4,972
1034,1,1,976
